bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
12,20011010213457,pre_release,RESOLVED,NO,NO,20071017074333 20140604005808,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/BatchCompilerTest.java org.eclipse.jdt.core/forceQualifierUpdate.txt
20,20011010213505,pre_release,RESOLVED,NO,NO,20140602194736,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/GenericTypeTest.java org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/GenericsRegressionTest.java org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/Scope.java
41,20011010213527,pre_release,VERIFIED,NO,NO,20031002142104,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java
64,20011010213550,pre_release,RESOLVED,NO,NO,20060831131038,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/BatchCompilerTest.java
126,20011010213652,pre_release,RESOLVED,NO,NO,20071030110149,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/regression/MethodVerifyTest.java
3243,20011010225153,pre_release,VERIFIED,NO,NO,20021120170148,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/AttachSourceTests.java org.eclipse.jdt.core.tests.model/workspace/AttachSourceTests/.classpath org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/core/JavaCore.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/BinaryMember.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/ClassFile.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/ClasspathEntry.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/DeltaProcessor.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/JarPackageFragmentRoot.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/PackageFragmentRoot.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SetClasspathOperation.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SourceMapper.java
3313,20011010225303,pre_release,RESOLVED,NO,NO,20020326181936,
3717,20011010225943,pre_release,VERIFIED,NO,NO,20021030131326,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/core/JavaCore.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/JavaModelOperation.java
6004,20011116092159,1.0,RESOLVED,NO,NO,20070629102526,org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/CompletionParserTest2.java
6930,20011214045748,1.0,VERIFIED,NO,NO,20090116142934 20090116144114 20090116155543 20090119162158,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/AbstractJavaModelTests.java org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/AbstractJavaSearchTests.java org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests2.java org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTestsRequestor2.java org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaSearchBugsTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionElementNotifier.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/ISearchRequestor.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/InternalCompletionProposal.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/MissingTypesGuesser.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/SelectionEngine.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedTypeReference.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/AssistParser.java org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/Engine.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/CompletionProposal.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/ICodeAssist.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/IType.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/eval/IEvaluationContext.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/compiler/ISourceElementRequestor.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/compiler/SourceElementNotifier.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SearchableEnvironment.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/index/DiskIndex.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/BasicSearchEngine.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/indexing/AbstractIndexer.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/indexing/BinaryIndexer.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/indexing/IIndexConstants.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/indexing/SourceIndexerRequestor.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/ConstructorPattern.java
