bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
13458,20020410165715,pre_release,RESOLVED,NO,NO,20130730130932,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
134165,20060330150457,R.0.4.10,NEW,NO,NO,20131125230601,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
162094,20061024111359,R.0.7.0,NEW,NO,NO,20111014024000 20111014110456 20111014140157,org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
168204,20061215092408,R.1.0.1,ASSIGNED,YES,NO,20120124203455 20120210043310,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
191522,20070607131115,R.1.0.1,NEW,NO,NO,20111108214527 20120210043310 20120212025718 20120223173721,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
202967,20070911140652,R.1.0.1,NEW,NO,NO,20130517142344,org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.tasks
207175,20071023105532,R.2.1.0,NEW,NO,NO,20111223185037,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
226618,20080410224018,R.2.3.2,NEW,NO,NO,20120224201126 20120225125400 20120227122140 20120229175638 20120229180156 20120301155436,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
234445,20080528135653,R.2.3.2,NEW,NO,NO,20121215200524,org.eclipse.mylyn.commons org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
234784,20080530040327,R.2.3.2,NEW,NO,NO,20130624165532,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
240554,20080711210218,R.3.0.0,NEW,NO,NO,20121108213909,org.eclipse.mylyn.builds org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
242739,20080731111331,R.3.0.1,NEW,NO,NO,20111013214814 20111020002542,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
245152,20080825131127,R.3.0.1,NEW,NO,NO,20110922233536,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
