bugID,opened_date,status,inheritance,overriding,fixed_date,modified_files,added_files,deleted_files
63,19980407121338,VERIFIED,NO,NO,20120802084744,,,
71,19980407125041,VERIFIED,NO,NO,20120807080821,,,
103,19980407184326,VERIFIED,YES,NO,20130223072858,,,
178,19980413110519,VERIFIED,NO,NO,20111222004729,src/org/mozilla/javascript/Parser.java testsrc/org/mozilla/javascript/tests/ParserTest.java,,
428,19980608020336,VERIFIED,NO,NO,20111222004636,src/org/mozilla/javascript/Parser.java testsrc/org/mozilla/javascript/tests/ParserTest.java,,
598,19980803070000,VERIFIED,NO,NO,20111222004805,src/org/mozilla/javascript/Parser.java,,
6063,19990311080000,RESOLVED,NO,NO,20000301213538,org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeFunction.java,,
6313,19990512103929,VERIFIED,NO,NO,19990518231016,org/mozilla/javascript/Context.java org/mozilla/javascript/FlattenedObject.java org/mozilla/javascript/Function.java org/mozilla/javascript/FunctionObject.java org/mozilla/javascript/Interpreter.java org/mozilla/javascript/JavaAdapter.java org/mozilla/javascript/NativeFunction.java org/mozilla/javascript/NativeScript.java org/mozilla/javascript/ScriptRuntime.java org/mozilla/javascript/ScriptableObject.java org/mozilla/javascript/tools/shell/Main.java src/org/mozilla/javascript/Context.java src/org/mozilla/javascript/FlattenedObject.java src/org/mozilla/javascript/Function.java src/org/mozilla/javascript/FunctionObject.java src/org/mozilla/javascript/Interpreter.java src/org/mozilla/javascript/JavaAdapter.java src/org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeScript.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/ScriptableObject.java toolsrc/org/mozilla/javascript/tools/shell/Main.java,,
6359,19990513165831,VERIFIED,NO,NO,19990526222832,org/mozilla/javascript/regexp/NativeRegExp.java src/org/mozilla/javascript/regexp/NativeRegExp.java,,
6705,19990518154649,VERIFIED,NO,NO,19990526195551,org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/ScriptRuntime.java,,
7625,19990604143755,RESOLVED,NO,NO,19990610015425,org/mozilla/javascript/NativeArray.java org/mozilla/javascript/NativeFunction.java org/mozilla/javascript/NativeNumber.java org/mozilla/javascript/ScriptRuntime.java org/mozilla/javascript/resources/Messages.properties src/org/mozilla/javascript/NativeArray.java src/org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeNumber.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/resources/Messages.properties,,
7703,19990606220201,VERIFIED,NO,NO,19990607222941,org/mozilla/javascript/Interpreter.java src/org/mozilla/javascript/Interpreter.java,,
11077,19990802093035,RESOLVED,NO,NO,19990804193749,org/mozilla/javascript/FunctionObject.java org/mozilla/javascript/ScriptableObject.java org/mozilla/javascript/resources/Messages.properties src/org/mozilla/javascript/FunctionObject.java src/org/mozilla/javascript/ScriptableObject.java src/org/mozilla/javascript/resources/Messages.properties,,
13416,19990908211544,RESOLVED,NO,NO,19990920222124,org/mozilla/javascript/TokenStream.java src/org/mozilla/javascript/TokenStream.java,,
19980,19991123153354,RESOLVED,NO,NO,19991201231258,org/mozilla/javascript/Parser.java src/org/mozilla/javascript/Parser.java,,
22866,19991231160730,RESOLVED,NO,NO,20000509234449,org/mozilla/javascript/LineBuffer.java src/org/mozilla/javascript/LineBuffer.java,,
23609,20000110203911,VERIFIED,NO,NO,20000119193245,org/mozilla/javascript/IRFactory.java src/org/mozilla/javascript/IRFactory.java,,
24023,20000114174035,RESOLVED,NO,NO,20000119225027,org/mozilla/javascript/Interpreter.java src/org/mozilla/javascript/Interpreter.java,,
31316,20000310060203,VERIFIED,NO,NO,20000509234718,org/mozilla/javascript/regexp/NativeRegExp.java src/org/mozilla/javascript/regexp/NativeRegExp.java,,
32174,20000316175721,RESOLVED,NO,NO,20000413175818,org/mozilla/javascript/NativeFunction.java src/org/mozilla/javascript/NativeFunction.java,,
32937,20000322153308,RESOLVED,NO,NO,20000509234613,org/mozilla/javascript/NativeNumber.java src/org/mozilla/javascript/NativeNumber.java,,
