bugID,opened_date,status,inheritance,overriding
321278,20100729193700,NEW,NO,NO
321538,20100802170600,RESOLVED,NO,NO
322855,20100816185200,RESOLVED,NO,NO
324060,20100831034700,RESOLVED,NO,NO
324327,20100902120700,RESOLVED,NO,NO
325006,20100910152800,RESOLVED,NO,NO
325300,20100914191800,RESOLVED,NO,NO
326119,20100924032600,RESOLVED,NO,NO
327249,20101007111200,RESOLVED,NO,NO
327432,20101011064100,RESOLVED,NO,NO
328090,20101018235500,RESOLVED,NO,NO
328204,20101020001100,RESOLVED,NO,NO
329528,20101105071700,RESOLVED,NO,NO
330167,20101113071400,RESOLVED,NO,NO
330695,20101119133500,RESOLVED,NO,NO
331515,20101201042000,RESOLVED,NO,NO
332122,20101208081600,RESOLVED,NO,NO
332747,20101216102400,RESOLVED,NO,NO
332760,20101216112800,RESOLVED,NO,NO
333930,20110110200500,RESOLVED,YES,NO
334024,20110111142800,VERIFIED,NO,NO
334159,20110112143000,RESOLVED,NO,NO
334967,20110120200100,RESOLVED,NO,NO
335254,20110124164400,RESOLVED,NO,NO
335790,20110130085400,RESOLVED,YES,NO
336430,20110205184800,RESOLVED,NO,NO
336592,20110208034200,RESOLVED,NO,NO
336683,20110209034200,RESOLVED,NO,NO
336813,20110210081700,RESOLVED,NO,NO
337980,20110223100600,RESOLVED,NO,NO
337999,20110223122600,RESOLVED,NO,NO
338013,20110223142500,RESOLVED,NO,NO
338893,20110304022700,RESOLVED,NO,NO
339474,20110310032900,RESOLVED,NO,NO
339956,20110314190400,RESOLVED,NO,NO
341434,20110330184400,RESOLVED,NO,NO
343544,20110421101300,RESOLVED,NO,NO
343748,20110425124000,RESOLVED,NO,NO
344039,20110427155500,RESOLVED,NO,NO
344100,20110428052600,RESOLVED,NO,NO
344108,20110428065600,RESOLVED,NO,NO
344416,20110502041700,RESOLVED,NO,NO
346046,20110517041100,RESOLVED,NO,NO
346161,20110517170700,RESOLVED,NO,NO
346555,20110519182400,RESOLVED,NO,NO
346672,20110520092100,RESOLVED,NO,NO
346742,20110520130600,RESOLVED,NO,NO
346882,20110523115700,RESOLVED,NO,NO
347365,20110526153100,NEW,NO,NO
347482,20110527121600,RESOLVED,NO,NO
347505,20110527154100,RESOLVED,NO,NO
347517,20110527164400,RESOLVED,NO,NO
347522,20110527170400,RESOLVED,NO,NO
347872,20110531191600,RESOLVED,NO,NO
347913,20110601075500,RESOLVED,NO,NO
348049,20110602035600,RESOLVED,NO,NO
348083,20110602112400,RESOLVED,NO,NO
348090,20110602113900,RESOLVED,NO,NO
348125,20110602142400,RESOLVED,NO,NO
348237,20110603120300,RESOLVED,NO,NO
348300,20110604104700,RESOLVED,NO,NO
348356,20110605234600,RESOLVED,NO,NO
348404,20110606103300,RESOLVED,NO,NO
348548,20110607083100,RESOLVED,NO,NO
348619,20110607142200,RESOLVED,NO,NO
348901,20110609102400,RESOLVED,NO,NO
348907,20110609103700,RESOLVED,NO,NO
348969,20110609172800,RESOLVED,NO,NO
349473,20110615120500,RESOLVED,NO,NO
349510,20110615191000,RESOLVED,NO,NO
349598,20110616132000,RESOLVED,NO,NO
349619,20110616154500,RESOLVED,NO,NO
349620,20110616154800,RESOLVED,NO,NO
349621,20110616154900,RESOLVED,NO,NO
349633,20110616182000,RESOLVED,NO,NO
349644,20110617014900,RESOLVED,NO,NO
349771,20110619122200,RESOLVED,NO,NO
349828,20110620105400,RESOLVED,NO,NO
349924,20110621060800,RESOLVED,YES,NO
350334,20110624184400,RESOLVED,NO,NO
350385,20110626141500,RESOLVED,NO,NO
350482,20110627142900,RESOLVED,NO,NO
350561,20110628074400,RESOLVED,NO,NO
350610,20110628122200,RESOLVED,NO,NO
350633,20110628162300,NEW,NO,NO
350679,20110629064500,RESOLVED,NO,NO
350931,20110701085600,RESOLVED,NO,NO
350965,20110701153200,RESOLVED,NO,NO
351100,20110704103800,RESOLVED,NO,NO
351461,20110707105600,RESOLVED,NO,NO
352132,20110714122600,RESOLVED,NO,NO
352228,20110715114000,CLOSED,NO,NO
352584,20110720100800,RESOLVED,NO,NO
352915,20110722170700,RESOLVED,NO,NO
352916,20110722170800,RESOLVED,NO,NO
352918,20110722174300,RESOLVED,NO,NO
352919,20110722181900,RESOLVED,NO,NO
352933,20110723113100,RESOLVED,YES,NO
353077,20110726033300,RESOLVED,NO,NO
353222,20110727111600,RESOLVED,NO,NO
353236,20110727133300,NEW,NO,NO
353316,20110728083100,RESOLVED,NO,NO
353367,20110728164400,NEW,NO,NO
353433,20110729121700,RESOLVED,NO,NO
354023,20110805121900,REOPENED,NO,NO
354077,20110806143200,RESOLVED,NO,NO
354179,20110808154100,RESOLVED,NO,NO
354422,20110810142400,RESOLVED,NO,NO
354533,20110811130600,RESOLVED,NO,NO
354570,20110811202200,RESOLVED,NO,NO
354670,20110812155000,RESOLVED,NO,NO
354753,20110815143700,RESOLVED,NO,NO
354873,20110816141200,RESOLVED,NO,NO
354879,20110816150000,RESOLVED,NO,NO
354977,20110817120200,RESOLVED,NO,NO
354984,20110817130500,RESOLVED,NO,NO
354987,20110817133400,RESOLVED,NO,NO
355004,20110817152900,RESOLVED,NO,NO
355015,20110817174400,NEW,NO,NO
355057,20110818070800,RESOLVED,YES,NO
355059,20110818072300,VERIFIED,NO,NO
355068,20110818083000,RESOLVED,NO,NO
355096,20110818110800,RESOLVED,NO,NO
355098,20110818111600,RESOLVED,NO,NO
355179,20110818195600,RESOLVED,NO,NO
355245,20110819130800,RESOLVED,NO,NO
355436,20110822161900,RESOLVED,NO,NO
355444,20110822173600,RESOLVED,NO,NO
355525,20110823111000,RESOLVED,NO,NO
355532,20110823115500,RESOLVED,NO,NO
355557,20110823150000,RESOLVED,NO,NO
355713,20110824104700,RESOLVED,NO,NO
355737,20110824121000,RESOLVED,NO,NO
355842,20110825101300,RESOLVED,NO,NO
355863,20110825113500,RESOLVED,NO,NO
355864,20110825113600,RESOLVED,NO,NO
355927,20110826052900,RESOLVED,NO,NO
355930,20110826062500,RESOLVED,NO,NO
355963,20110826111800,RESOLVED,NO,NO
355975,20110826153300,RESOLVED,NO,NO
355977,20110826154000,RESOLVED,NO,NO
355990,20110826190100,RESOLVED,NO,NO
356006,20110827134700,RESOLVED,NO,NO
356009,20110827161400,RESOLVED,YES,NO
356112,20110829145600,RESOLVED,NO,NO
356253,20110830170800,RESOLVED,NO,NO
356283,20110831033800,RESOLVED,NO,NO
356326,20110831093100,RESOLVED,NO,NO
356330,20110831094500,RESOLVED,NO,NO
356332,20110831095500,RESOLVED,NO,NO
356334,20110831100800,RESOLVED,NO,NO
356338,20110831101800,RESOLVED,NO,NO
356344,20110831103600,RESOLVED,NO,NO
356348,20110831105200,RESOLVED,NO,NO
356351,20110831105900,RESOLVED,NO,NO
356376,20110831135800,RESOLVED,NO,NO
356397,20110831153700,RESOLVED,NO,NO
356642,20110902165500,RESOLVED,NO,NO
356786,20110906054900,RESOLVED,NO,NO
356788,20110906055300,RESOLVED,NO,NO
356790,20110906055700,RESOLVED,NO,NO
356855,20110906160700,RESOLVED,NO,NO
356857,20110906161700,NEW,NO,NO
356914,20110907071200,RESOLVED,NO,NO
356958,20110907115000,RESOLVED,NO,NO
356960,20110907115600,RESOLVED,NO,NO
357052,20110908055000,RESOLVED,NO,NO
357205,20110909051700,RESOLVED,NO,NO
357218,20110909075400,RESOLVED,NO,NO
357294,20110909192900,RESOLVED,NO,NO
357299,20110909214300,RESOLVED,NO,NO
357310,20110910144200,RESOLVED,NO,NO
357366,20110912080600,RESOLVED,NO,NO
357524,20110913132700,RESOLVED,NO,NO
357541,20110913145600,RESOLVED,NO,NO
357544,20110913150400,RESOLVED,NO,NO
357818,20110915102400,RESOLVED,NO,NO
358004,20110917134100,RESOLVED,NO,NO
358468,20110921133400,RESOLVED,NO,NO
358554,20110922054400,NEW,NO,NO
358562,20110922074800,RESOLVED,NO,NO
358563,20110922075300,RESOLVED,NO,NO
358575,20110922085200,RESOLVED,NO,NO
358580,20110922090500,RESOLVED,NO,NO
358582,20110922091900,RESOLVED,NO,NO
358583,20110922092100,RESOLVED,NO,NO
358600,20110922102600,RESOLVED,NO,NO
358631,20110922134500,RESOLVED,NO,NO
358634,20110922135600,RESOLVED,NO,NO
358635,20110922135800,RESOLVED,NO,NO
358637,20110922140100,RESOLVED,NO,NO
358657,20110922160600,RESOLVED,NO,NO
358671,20110922173700,CLOSED,NO,NO
358682,20110922225900,RESOLVED,NO,NO
358760,20110923143900,RESOLVED,NO,NO
358786,20110923182900,RESOLVED,NO,NO
358943,20110926134600,RESOLVED,NO,NO
359084,20110927104700,RESOLVED,NO,NO
359119,20110927132700,RESOLVED,NO,NO
359232,20110928093200,RESOLVED,NO,NO
359236,20110928095100,RESOLVED,NO,NO
359241,20110928101500,RESOLVED,NO,NO
359246,20110928104500,RESOLVED,NO,NO
359280,20110928130700,RESOLVED,NO,NO
359299,20110928155500,RESOLVED,NO,NO
359300,20110928160500,RESOLVED,NO,NO
359312,20110928175700,RESOLVED,NO,NO
359317,20110928185900,RESOLVED,NO,NO
359318,20110928193300,RESOLVED,NO,NO
359321,20110928200400,RESOLVED,NO,NO
359461,20110929135400,NEW,NO,NO
359463,20110929135500,RESOLVED,NO,NO
359467,20110929144900,RESOLVED,NO,NO
359470,20110929151600,RESOLVED,NO,NO
359471,20110929152900,RESOLVED,NO,NO
359516,20110930022600,RESOLVED,NO,NO
359518,20110930023200,RESOLVED,NO,NO
359577,20110930112100,RESOLVED,NO,NO
359591,20110930132200,RESOLVED,NO,NO
359592,20110930132400,RESOLVED,NO,NO
359595,20110930135800,RESOLVED,NO,NO
359618,20110930163900,RESOLVED,NO,NO
359620,20110930164100,RESOLVED,NO,NO
359624,20110930172100,RESOLVED,NO,NO
359629,20110930190300,RESOLVED,NO,NO
359750,20111003143000,RESOLVED,NO,NO
359976,20111005090300,RESOLVED,NO,NO
